INTERNAL_CHARACTER_NAME,Name of Skin,Relative Path to Texture
Mario,DEFAULT,
FireMario,DEFAULT,
Sonic,DEFAULT,
KoopaBros,DEFAULT,
Shadow,DEFAULT,
Yoshi,DEFAULT,
MechaSonic,DEFAULT,
SemiSuperMechaSonic,DEFAULT,
TransformSemiSuperMechaSonic,DEFAULT,
AxemRangersX,DEFAULT,
Luigi,DEFAULT,
CapedLuigi,DEFAULT,
Basilisx,DEFAULT,
Goomba,DEFAULT,
BlueShellGoomba,DEFAULT,
RaccoonMario,DEFAULT,
VaguelySuperGoomba,DEFAULT,
CapedMario,DEFAULT,
IceGoomba,DEFAULT,
SemiSuperGoomba,DEFAULT,
Robotnik,DEFAULT,
Mario,Halloween,MarioHalloween.png
FireMario,Halloween,FireMarioHalloween.png
Sonic,Halloween,SonicHalloween.png
KoopaBros,Halloween,KoopaBrosHalloween.png
KoopaBros,Green,KoopaBrosGreen.png
KoopaBros,Black,KoopaBrosBlack.png
KoopaBros,Yellow,KoopaBrosYellow.png
KoopaBros,Violet,KoopaBrosViMeme.png
Shadow,Halloween,ShadowHalloween.png
MechaSonic,Halloween,MechaSonicHalloween.png
MechaSonic,Dr. Eggman,Dr._Eggman.png
MechaSonic,Masgui,MechaMasgui.png
MechaSonic,Violet,MechaViolet.png
MechaSonic,Metallix,MechaMetallix.png
AxemRangersX,Halloween,AxemRangersXHalloween.png
Yoshi,Halloween,YoshiHalloween.png
Luigi,Halloween,LuigiHalloween.png
CapedLuigi,Halloween,LuigiHalloween.png
Luigi,Violet,LuigiViolet.png
CapedLuigi,Violet,LuigiViolet.png
Basilisx,Halloween,BasilisxHalloween.png
Basilisx,Violet,BasilisxViolet.png
Basilisx,Metal,MetalBasilisx.png
Goomba,Halloween,GoombaHalloween.png
BlueShellGoomba,Halloween,BlueShellGoombaHalloween.png
VaguelySuperGoomba,Halloween,VaguelySuperGoombaHalloween.png
CapedMario,Halloween,CapeMarioHalloween.png
SemiSuperMechaSonic,Halloween,SemiSuperMechaHalloween.png
TransformSemiSuperMechaSonic,Halloween,TransformMechaHalloween.png
SemiSuperMechaSonic,Violet,SemiSuperMechaViolet.png
TransformSemiSuperMechaSonic,Violet,TransformMechaViolet.png
SemiSuperMechaSonic,Golden,SemiSuperMechaPiss.png
TransformSemiSuperMechaSonic,Golden,TransformMechaPiss.png
SemiSuperGoomba,Halloween,SemiSuperGoombaChristmas_png.png
IceGoomba,Halloween,IceGoombaHalloween.png
RaccoonMario,Halloween,RaccoonMarioHalloween.png
